Gene_pairs,Score
"('AARS2', 'FAM50A')",-1.07668818764
"('AARS2', 'FAM98B')",1.21422034489
"('AARS2', 'FARSA')",0.239441633379
"('AARS2', 'FARSB')",0.0974079974635
"('AARS2', 'FBXO28')",1.04346128067
"('AARS2', 'FDPS')",0.663829072627
"('AARS2', 'FH')",1.49694076332
"('AARS2', 'FIP1L1')",-1.20014900145
"('AARS2', 'GEMIN2')",0.843223677327
"('AARS2', 'GEMIN4')",1.18672657154
"('AARS2', 'GFER')",-0.691244970904
"('AARS2', 'GFI1B')",-0.805479395618
"('AARS2', 'GINS4')",-1.46165379302
"('AARS2', 'GNL2')",-0.171669173784
"('AARS2', 'GNL3L')",0.352354943842
"('AARS2', 'GNPAT')",-0.264694921423
"('AARS2', 'GOLT1B')",0.0168801277113
"('AARS2', 'GPN3')",-0.809741717913
"('AARS2', 'GTF2E1')",-1.68361743842
"('AARS2', 'GTF2H1')",-1.28922512253
"('AARS2', 'GTF2H4')",-1.43120305782
"('AARS2', 'GTF3C3')",0.114223248954
"('AARS2', 'GTPBP4')",-0.115824559892
"('AARS2', 'HBS1L')",-0.403730826707
"('AARS2', 'HCCS')",-2.40783452511
"('AARS2', 'HSCB')",-1.71586747448
"('AARS2', 'HUS1')",0.245718685275
"('AARS2', 'HYPK')",-0.609035683493
"('AARS2', 'IARS')",-0.572008570447
"('AARS2', 'ICT1')",2.24497912738
"('AARS2', 'IMPDH2')",-0.879332348513
"('AARS2', 'INTS3')",-0.967928638985
"('AARS2', 'INTS5')",-0.960361922187
"('AARS2', 'KARS')",1.25724172762
"('AARS2', 'KCTD10')",-2.02984789106
"('AARS2', 'KDM1A')",-0.0771577526348
"('AARS2', 'KIAA1731')",-1.23683761477
"('AARS2', 'KIF11')",-0.728329369212
"('AARS2', 'KIF14')",-1.6177992657
"('AARS2', 'LARS')",0.77135209892
"('AARS2', 'LARS2')",1.49417053014
"('AARS2', 'LEO1')",3.93415949658
"('AARS2', 'LIAS')",-1.43384060829
"('AARS2', 'LONP1')",-1.24219577886
"('AARS2', 'LUC7L3')",-0.355670068929
"('AARS2', 'Ltn1')",-0.00720420272525
